date,cultivar,n_stolon_primary_mean,n_stolon_secondary_mean,n_stolon_tertiary_mean,n_stolon_quaternary_mean,n_dp_alt_primary_mean,n_dp_alt_secondary_mean,n_dp_alt_tertiary_mean,n_dp_alt_quaternary_mean,n_dp_mid_primary_mean,n_dp_mid_secondary_mean,n_dp_mid_tertiary_mean,n_dp_mid_quaternary_mean,n_dp_total_alt_mean,n_dp_total_mid_mean,n_flowers_total_mean,n_flowers_mp_mean,n_flowers_dp_mean,stolon_length_primary_cm_mean,crown_diameter_mm_mean,n_stolon_primary_se,n_stolon_secondary_se,n_stolon_tertiary_se,n_stolon_quaternary_se,n_dp_alt_primary_se,n_dp_alt_secondary_se,n_dp_alt_tertiary_se,n_dp_alt_quaternary_se,n_dp_mid_primary_se,n_dp_mid_secondary_se,n_dp_mid_tertiary_se,n_dp_mid_quaternary_se,n_dp_total_alt_se,n_dp_total_mid_se,n_flowers_total_se,n_flowers_mp_se,n_flowers_dp_se,stolon_length_primary_cm_se,crown_diameter_mm_se,n_stolon_primary_n,n_stolon_secondary_n,n_stolon_tertiary_n,n_stolon_quaternary_n,n_dp_alt_primary_n,n_dp_alt_secondary_n,n_dp_alt_tertiary_n,n_dp_alt_quaternary_n,n_dp_mid_primary_n,n_dp_mid_secondary_n,n_dp_mid_tertiary_n,n_dp_mid_quaternary_n,n_dp_total_alt_n,n_dp_total_mid_n,n_flowers_total_n,n_flowers_mp_n,n_flowers_dp_n,stolon_length_primary_cm_n,crown_diameter_mm_n
2025-05-07,Radiance,19.333333333333332,13.666666666666666,1.0,0.0,33.333333333333336,15.0,1.0,0.0,0.6666666666666666,2.3333333333333335,0.0,0.0,49.333333333333336,3.0,0.0,0.0,0.0,132.7056427,,2.3333333333333335,1.452966314513558,0.0,0.0,7.753135566408672,2.0816659994661326,0.0,0.0,0.6666666666666667,0.33333333333333337,0.0,0.0,9.527737285304303,0.5773502691896258,0.0,0.0,0.0,5.931761857990671,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-07,Ruby June,7.666666666666667,4.666666666666667,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,15.0,0.6666666666666666,0.0,0.0,0.0,89.09555555666667,,0.33333333333333337,1.2018504251546631,0.0,0.0,1.5275252316519468,1.7320508075688774,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,3.2145502536643185,0.6666666666666667,0.0,0.0,0.0,3.864685955927492,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-14,Albion,4.333333333333333,6.666666666666667,0.3333333333333333,0.0,8.0,10.666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5.333333333333333,5.333333333333333,0.0,125.325,,0.33333333333333337,1.2018504251546631,0.33333333333333337,0.0,0.5773502691896258,1.7638342073763937,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,1.7320508075688774,0.0,2.666666666666667,2.666666666666667,0.0,2.860543363302389,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-14,Cabrio,7.333333333333333,7.333333333333333,0.3333333333333333,0.0,12.0,10.333333333333334,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,22.666666666666668,1.0,1.3333333333333333,1.3333333333333333,0.0,112.6557143,,0.8819171036881969,0.33333333333333337,0.33333333333333337,0.0,2.0816659994661326,1.3333333333333335,0.33333333333333337,0.0,1.0,0.0,0.0,0.0,2.96273147243853,1.0,1.3333333333333335,1.3333333333333335,0.0,3.3583526631705145,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-14,Camarosa,6.666666666666667,14.0,3.6666666666666665,0.0,16.333333333333332,21.333333333333332,5.0,0.0,2.0,1.6666666666666667,0.0,0.0,42.666666666666664,3.6666666666666665,0.0,0.0,0.0,175.08833333333334,,0.8819171036881969,0.5773502691896258,0.8819171036881969,0.0,2.905932629027116,1.763834207376394,1.1547005383792517,0.0,1.5275252316519468,0.3333333333333333,0.0,0.0,1.763834207376394,1.2018504251546633,0.0,0.0,0.0,3.2018176261478644,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-14,Chandler,8.666666666666666,15.666666666666666,0.3333333333333333,0.0,18.666666666666668,24.666666666666668,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,43.666666666666664,0.6666666666666666,0.0,0.0,0.0,150.84345236666667,,0.3333333333333333,1.452966314513558,0.33333333333333337,0.0,0.6666666666666666,1.2018504251546633,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.0,0.8819171036881969,0.33333333333333337,0.0,0.0,0.0,5.882888425432317,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-14,Finn,6.666666666666667,3.6666666666666665,0.3333333333333333,0.0,11.0,5.666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,17.333333333333332,0.0,6.333333333333333,6.333333333333333,0.0,117.74222233333332,,0.33333333333333337,1.452966314513558,0.33333333333333337,0.0,0.5773502691896258,2.0275875100994067,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.2018504251546633,0.0,3.4801021696368504,3.4801021696368504,0.0,8.43479589075903,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-14,Sensation,9.666666666666666,13.0,0.6666666666666666,0.0,18.0,18.666666666666668,0.6666666666666666,0.0,1.6666666666666667,1.0,0.0,0.0,37.333333333333336,2.6666666666666665,0.0,0.0,0.0,132.5162037,,0.881917103688197,1.5275252316519468,0.33333333333333337,0.0,2.3094010767585034,4.333333333333334,0.33333333333333337,0.0,0.881917103688197,0.5773502691896258,0.0,0.0,5.6960024968783545,0.33333333333333337,0.0,0.0,0.0,11.041650253221983,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-21,Brilliance,9.0,14.333333333333334,4.0,0.0,18.666666666666668,27.0,4.666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,50.333333333333336,1.6666666666666667,0.0,0.0,0.0,143.71904763333333,,0.0,1.3333333333333335,1.0,0.0,1.3333333333333335,3.6055512754639896,1.4529663145135578,0.0,1.6666666666666667,0.0,0.0,0.0,2.96273147243853,1.6666666666666667,0.0,0.0,0.0,1.7364114592080246,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-21,Moxie,9.333333333333334,5.333333333333333,0.6666666666666666,0.0,15.333333333333334,8.333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,24.333333333333332,0.0,11.0,11.0,0.0,122.46313133333332,,2.6034165586355518,0.8819171036881969,0.33333333333333337,0.0,4.666666666666667,1.452966314513558,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,5.456901847914966,0.0,9.073771725877467,9.073771725877467,0.0,10.670811009191606,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
