date,cultivar,rep,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-05-14,Camarosa,3,5.0,15.0,5.0,0.0,11.0,24.0,7.0,0.0,5.0,1.0,0.0,0.0,42.0,6.0,0.0,0.0,0.0,180.8,
2025-05-28,Camarosa,1,14.0,22.0,11.0,0.0,27.0,43.0,16.0,0.0,2.0,4.0,0.0,0.0,86.0,6.0,0.0,0.0,0.0,202.4,
2025-05-28,Camarosa,2,10.0,21.0,5.0,0.0,29.0,45.0,8.0,0.0,0.0,3.0,0.0,0.0,82.0,3.0,0.0,0.0,0.0,198.4,
2025-05-28,Camarosa,3,5.0,21.0,12.0,1.0,17.0,48.0,19.0,1.0,6.0,2.0,0.0,0.0,85.0,8.0,0.0,0.0,0.0,219.66,
2025-06-11,Camarosa,1,16.0,27.0,18.0,1.0,44.0,70.0,31.0,1.0,5.0,8.0,1.0,0.0,146.0,14.0,0.0,0.0,0.0,202.57,
2025-06-11,Camarosa,2,12.0,30.0,12.0,0.0,40.0,81.0,21.0,0.0,0.0,5.0,0.0,0.0,142.0,5.0,0.0,0.0,0.0,227.95,
2025-06-11,Camarosa,3,5.0,23.0,16.0,2.0,18.0,68.0,35.0,2.0,7.0,1.0,0.0,0.0,123.0,8.0,0.0,0.0,0.0,233.96,
2025-06-25,Camarosa,1,19.0,34.0,21.0,1.0,62.0,99.0,51.0,2.0,7.0,11.0,2.0,0.0,214.0,20.0,0.0,0.0,0.0,200.3866667,7.057352941
2025-06-25,Camarosa,2,12.0,23.0,15.0,0.0,53.0,115.0,36.0,0.0,1.0,7.0,0.0,0.0,204.0,8.0,0.0,0.0,0.0,224.5636364,6.442835821
2025-06-25,Camarosa,3,5.0,23.0,18.0,2.0,21.0,89.0,51.0,2.0,7.0,1.0,0.0,0.0,163.0,8.0,0.0,0.0,0.0,249.2,7.368116883
2025-04-16,Chandler,1,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,86.85,
2025-04-16,Chandler,2,4.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,70.33333333,
