date,cultivar,trait,mean_value,se_value,n_reps
2025-05-07,Brilliance,n_dp_mid_primary,1.3333333333333333,1.3333333333333335,3
2025-05-21,Brilliance,n_dp_mid_primary,1.6666666666666667,1.6666666666666667,3
2025-06-04,Brilliance,n_dp_mid_primary,2.0,2.0,3
2025-06-18,Brilliance,n_dp_mid_primary,2.3333333333333335,2.3333333333333335,3
2025-07-02,Brilliance,n_dp_mid_primary,2.6666666666666665,2.666666666666667,3
2025-04-23,Brilliance,n_dp_mid_quaternary,0.0,0.0,3
2025-05-07,Brilliance,n_dp_mid_quaternary,0.0,0.0,3
2025-05-21,Brilliance,n_dp_mid_quaternary,0.0,0.0,3
2025-06-04,Brilliance,n_dp_mid_quaternary,0.0,0.0,3
2025-06-18,Brilliance,n_dp_mid_quaternary,0.0,0.0,3
2025-07-02,Brilliance,n_dp_mid_quaternary,0.0,0.0,3
2025-04-23,Brilliance,n_dp_mid_secondary,0.0,0.0,3
2025-05-07,Brilliance,n_dp_mid_secondary,0.0,0.0,3
2025-05-21,Brilliance,n_dp_mid_secondary,0.0,0.0,3
2025-06-04,Brilliance,n_dp_mid_secondary,0.0,0.0,3
2025-06-18,Brilliance,n_dp_mid_secondary,0.0,0.0,3
2025-07-02,Brilliance,n_dp_mid_secondary,0.0,0.0,3
2025-04-23,Brilliance,n_dp_mid_tertiary,0.0,0.0,3
2025-05-07,Brilliance,n_dp_mid_tertiary,0.0,0.0,3
2025-05-21,Brilliance,n_dp_mid_tertiary,0.0,0.0,3
2025-06-04,Brilliance,n_dp_mid_tertiary,0.0,0.0,3
2025-06-18,Brilliance,n_dp_mid_tertiary,0.0,0.0,3
2025-07-02,Brilliance,n_dp_mid_tertiary,0.0,0.0,3
2025-04-23,Brilliance,n_dp_total_alt,8.0,1.1547005383792517,3
2025-05-07,Brilliance,n_dp_total_alt,25.0,2.886751345948129,3
2025-05-21,Brilliance,n_dp_total_alt,50.333333333333336,2.96273147243853,3
2025-06-04,Brilliance,n_dp_total_alt,97.33333333333333,5.2068331172711035,3
2025-06-18,Brilliance,n_dp_total_alt,140.0,8.386497083606082,3
2025-07-02,Brilliance,n_dp_total_alt,176.33333333333334,7.125852775477317,3
2025-04-23,Brilliance,n_dp_total_mid,1.0,1.0,3
2025-05-07,Brilliance,n_dp_total_mid,1.3333333333333333,1.3333333333333335,3
2025-05-21,Brilliance,n_dp_total_mid,1.6666666666666667,1.6666666666666667,3
2025-06-04,Brilliance,n_dp_total_mid,2.0,2.0,3
2025-06-18,Brilliance,n_dp_total_mid,2.3333333333333335,2.3333333333333335,3
2025-07-02,Brilliance,n_dp_total_mid,2.6666666666666665,2.666666666666667,3
2025-04-23,Brilliance,n_flowers_dp,0.0,0.0,3
2025-05-07,Brilliance,n_flowers_dp,0.0,0.0,3
2025-05-21,Brilliance,n_flowers_dp,0.0,0.0,3
2025-06-04,Brilliance,n_flowers_dp,0.0,0.0,3
2025-06-18,Brilliance,n_flowers_dp,0.0,0.0,3
2025-07-02,Brilliance,n_flowers_dp,0.0,0.0,3
2025-04-23,Brilliance,n_flowers_mp,1.6666666666666667,1.6666666666666667,3
2025-05-07,Brilliance,n_flowers_mp,0.0,0.0,3
2025-05-21,Brilliance,n_flowers_mp,0.0,0.0,3
2025-06-04,Brilliance,n_flowers_mp,0.0,0.0,3
2025-06-18,Brilliance,n_flowers_mp,0.0,0.0,3
2025-07-02,Brilliance,n_flowers_mp,0.0,0.0,3
2025-04-23,Brilliance,n_flowers_total,1.6666666666666667,1.6666666666666667,3
2025-05-07,Brilliance,n_flowers_total,0.0,0.0,3
2025-05-21,Brilliance,n_flowers_total,0.0,0.0,3
2025-06-04,Brilliance,n_flowers_total,0.0,0.0,3
2025-06-18,Brilliance,n_flowers_total,0.0,0.0,3
2025-07-02,Brilliance,n_flowers_total,0.0,0.0,3
2025-04-23,Brilliance,n_stolon_primary,4.333333333333333,0.33333333333333337,3
